YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education,TopicId,MeasureId,StratificationID1,StratificationID4,SubMeasureID,DisplayOrder
2006,WI,Wisconsin,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.6,0.3,0.1,1.1,947,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS10,10
2006,SC,South Carolina,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,32.6,2.4,27.8,37.4,1294,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2009,MS,Mississippi,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,49.1,4.4,40.4,57.8,146,Male,High School,105BEH,170CES,2GEN,2EDU,YTS02,2
2010,IN,Indiana,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,2,0.5,1.1,2.9,1058,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS11,11
2004,MS,Mississippi,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,41.5,2.5,36.5,46.5,1290,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS08,8
2002,NC,North Carolina,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,66.9,6,55.2,78.6,239,Female,Middle School,105BEH,169QUA,3GEN,1EDU,YTS06,6
2007,ND,North Dakota,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.8,1.1,4.7,8.9,1063,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS07,7
2000,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,18.2,0.9,16.4,19.9,10548,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS11,11
2003,UT,Utah,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,,,,,Male,Middle School,105BEH,170CES,2GEN,1EDU,YTS02,2
2000,DE,Delaware,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,65.7,1.4,62.9,68.4,1587,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS08,8
2004,NJ,New Jersey,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,40.3,4.2,32.1,48.6,170,Male,High School,105BEH,169QUA,2GEN,2EDU,YTS05,5
2011,ND,North Dakota,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,45.3,2.3,40.7,49.9,973,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS08,8
2002,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.2,0.7,1.9,4.6,1359,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2013,SC,South Carolina,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.4,0.4,0.6,2.2,809,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS09,9
2014,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.1,0.1,0,0.3,2062,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS12,12
2013,HI,Hawaii,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,3.2,1.1,1.1,5.3,1038,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS11,11
2013,WV,West Virginia,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,24.8,2.8,19.4,30.2,1022,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS08,8
2008,IA,Iowa,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,41.2,3.5,34.3,48.1,628,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS08,8
2007,UT,Utah,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.9,0.4,1.1,2.7,2036,Male,High School,151BEH,169USS,2GEN,2EDU,YTS12,12
2003,RI,Rhode Island,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,7.2,0.8,5.7,8.8,1058,Female,High School,151BEH,169USS,3GEN,2EDU,YTS11,11
2000,AZ,Arizona,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,36.5,2.1,32.4,40.6,970,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS08,8
2002,MA,Massachusetts,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.9,0.4,1.1,2.8,957,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS09,9
2000,TN,Tennessee,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.9,0.3,1.3,2.5,5309,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS10,10
2016,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.5,0.6,0.4,2.6,785,Female,High School,151BEH,169USS,3GEN,2EDU,YTS10,10
2006,MS,Mississippi,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,37.6,5.9,26.1,49.1,58,Female,Middle School,105BEH,170CES,3GEN,1EDU,YTS03,3
2002,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,37.3,2.5,32.5,42.2,1939,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2009,SC,South Carolina,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.7,0.8,1.2,4.2,1074,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS12,12
2002,KS,Kansas,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.7,0.6,0.5,2.9,699,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS09,9
2009,GA,Georgia,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,4.5,1,2.6,6.4,995,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS09,9
2015,PA,Pennsylvania,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.2,0.1,0,0.5,1286,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS09,9
2012,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,15.9,1.7,12.6,19.2,889,Male,High School,151BEH,169USS,2GEN,2EDU,YTS11,11
2005,ND,North Dakota,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,25.6,3.4,19,32.2,544,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS08,8
2013,MS,Mississippi,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.4,0.2,0,0.8,893,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS09,9
2001,ID,Idaho,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.8,0.6,3.6,6,922,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS10,10
2003,ND,North Dakota,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,26.3,1.8,22.7,29.9,1638,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS07,7
2001,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.1,0.3,1.4,2.7,1883,Male,High School,151BEH,169USS,2GEN,2EDU,YTS12,12
2009,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,9.6,1.8,6.1,13.1,890,Male,High School,151BEH,169USS,2GEN,2EDU,YTS12,12
2004,WI,Wisconsin,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,,,,,Female,Middle School,105BEH,170CES,3GEN,1EDU,YTS03,3
2009,SC,South Carolina,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.2,0.3,0.6,1.8,1314,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS12,12
2013,ND,North Dakota,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.4,0.5,2.4,4.4,1975,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS07,7
2000,TX,Texas,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.8,0.9,1.2,4.5,2260,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS12,12
2000,VT,Vermont,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.1,4.2,32.7,49.4,130,Overall,Middle School,105BEH,170CES,1GEN,1EDU,YTS01,1
2000,CA,California,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.9,1.4,3.2,8.5,1434,Female,High School,151BEH,169USS,3GEN,2EDU,YTS11,11
2005,UT,Utah,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.3,1.7,7,13.6,3244,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS07,7
2000,WV,West Virginia,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,14.9,1.5,12,17.8,853,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS10,10
2000,OK,Oklahoma,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,52,1.8,48.5,55.5,1549,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
1999,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.8,0.6,1.7,3.9,1029,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2005,AR,Arkansas,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,2.6,0.6,1.5,3.7,1059,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS10,10
2002,OH,Ohio,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.2,0.6,0.1,2.4,779,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2006,WI,Wisconsin,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,59,4.8,49.6,68.4,142,Female,High School,105BEH,169QUA,3GEN,2EDU,YTS06,6
2002,AL,Alabama,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,55,6.5,42.2,67.7,144,Female,High School,105BEH,169QUA,3GEN,2EDU,YTS06,6
2008,WI,Wisconsin,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.5,0.5,0.6,2.4,734,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS09,9
2002,MS,Mississippi,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,10.8,1.8,7.3,14.3,1060,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS09,9
2009,NH,New Hampshire,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,14.8,1.4,12.1,17.5,1481,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS11,11
2004,WI,Wisconsin,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,2.6,0.7,1.3,3.9,737,Female,High School,151BEH,169USS,3GEN,2EDU,YTS10,10
2005,WV,West Virginia,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,28.9,2.8,23.5,34.3,653,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS07,7
2011,WV,West Virginia,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,39.2,5.3,28.9,49.5,64,Male,Middle School,105BEH,170CES,2GEN,1EDU,YTS02,2
2000,MD,Maryland,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,0.1,0.1,0.4,11015,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS12,12
2005,WV,West Virginia,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.9,0.5,0,2,653,Female,High School,151BEH,169USS,3GEN,2EDU,YTS12,12
2012,DE,Delaware,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.4,0.5,3.5,5.3,2221,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS10,10
2015,HI,Hawaii,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.4,0.9,5.6,9.1,1820,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS07,7
2007,MO,Missouri,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.5,0.7,1.1,3.9,1308,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS12,12
1999,NJ,New Jersey,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.2,0.4,1.5,2.9,8371,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS09,9
2002,MS,Mississippi,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,23.3,1.6,20.2,26.5,2261,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS07,7
2010,MS,Mississippi,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,21.5,1.5,18.5,24.5,800,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS07,7
2016,WI,Wisconsin,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,0.1,0,0.4,1589,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS12,12
2003,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,6.4,0.5,5.4,7.4,11754,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS10,10
2003,AZ,Arizona,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.1,0.1,0,0.4,1047,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS12,12
2002,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,0.1,0,0.5,1575,Female,High School,151BEH,169USS,3GEN,2EDU,YTS12,12
2012,AL,Alabama,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,65.1,4,57.3,72.9,141,Male,High School,105BEH,169QUA,2GEN,2EDU,YTS05,5
2004,NC,North Carolina,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1,0.2,0.6,1.4,1538,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2004,AL,Alabama,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,24.3,2.8,18.8,29.9,676,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS11,11
2009,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,9.8,1.2,7.5,12.1,871,Female,High School,151BEH,169USS,3GEN,2EDU,YTS11,11
2002,MD,Maryland,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,8.3,0.2,7.8,8.7,36794,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS09,9
2001,ME,Maine,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2,0.4,1.3,2.7,6205,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS09,9
2013,WV,West Virginia,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,49.3,2.8,43.8,54.8,833,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS08,8
2013,LA,Louisiana,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.4,0.3,0.8,2,1980,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS09,9
2006,IL,Illinois,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.8,3.1,0,10.9,625,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS10,10
2003,AZ,Arizona,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.8,0.5,0.8,2.8,813,Female,High School,151BEH,169USS,3GEN,2EDU,YTS10,10
2003,MS,Mississippi,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,14.1,0.9,12.4,15.8,11746,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS11,11
2000,KY,Kentucky,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,4.9,0.9,3.2,6.6,1284,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS12,12
2008,PA,Pennsylvania,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,7.7,0.9,6,9.4,2336,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS11,11
2003,UT,Utah,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,6.1,0.7,4.8,7.4,1311,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS11,11
2011,SC,South Carolina,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,8.9,1.8,5.3,12.5,755,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS10,10
2011,CT,Connecticut,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.8,4.9,32.1,51.5,131,Male,High School,105BEH,170CES,2GEN,2EDU,YTS02,2
2000,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,25.6,2.6,20.5,30.6,1569,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS11,11
2002,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,0.2,0.1,0.8,2796,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS12,12
2000,NE,Nebraska,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,39.3,2.1,35.3,43.4,1549,Male,High School,151BEH,169USS,2GEN,2EDU,YTS11,11
2005,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,0.2,0,0.7,1062,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2002,DE,Delaware,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,14,1.5,11.1,17,2455,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS11,11
2010,OH,Ohio,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5.5,0.9,3.7,7.3,773,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS10,10
2012,DE,Delaware,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,5.5,0.8,3.9,7.1,1057,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS09,9
2000,TX,Texas,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,42.3,2.5,37.4,47.2,1029,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS08,8
2016,WI,Wisconsin,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,,,,,Male,Middle School,105BEH,169QUA,2GEN,1EDU,YTS05,5
2007,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.3,1,2.3,6.3,959,Female,High School,151BEH,169USS,3GEN,2EDU,YTS11,11
2004,NJ,New Jersey,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.3,0.2,0,0.8,1194,Female,High School,151BEH,169USS,3GEN,2EDU,YTS12,12
2002,FL,Florida,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,59.7,1.8,56.1,63.3,739,Female,Middle School,105BEH,169QUA,3GEN,1EDU,YTS06,6
2014,MN,Minnesota,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,,,,,Female,Middle School,105BEH,169QUA,3GEN,1EDU,YTS06,6
1999,GA,Georgia,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,47.3,7.3,33,61.6,79,Male,Middle School,105BEH,169QUA,2GEN,1EDU,YTS05,5
2011,ND,North Dakota,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.3,0.5,0.4,2.2,986,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS12,12
2010,DE,Delaware,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,1.9,0.4,1.1,2.7,1082,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS11,11
2004,VT,Vermont,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,6.3,1.1,4.1,8.5,1423,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS10,10
2008,IA,Iowa,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,,,,,Overall,Middle School,105BEH,170CES,1GEN,1EDU,YTS01,1
2000,AL,Alabama,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,63.9,5.2,53.7,74.2,172,Female,High School,105BEH,170CES,3GEN,2EDU,YTS03,3
2016,OK,Oklahoma,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,0.3,0,1.1,1273,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS12,12
